perc_premium_paid_by_cash_credit,age_in_days,Income,Count_3-6_months_late,Count_6-12_months_late,Count_more_than_12_months_late,no_of_premiums_paid,application_underwriting_score,renewal
0.201,16800,229580,0.0,0.0,0.0,9,99.05,1
0.013000000000000001,33960,73530,0.0,0.0,0.0,3,99.89,1
0.0,22635,242790,0.0,0.0,0.0,11,99.09,1
0.043,14974,75050,0.0,0.0,0.0,11,97.85,1
0.016,16798,84110,0.0,0.0,0.0,13,99.18,1
0.316,21915,132600,0.0,0.0,0.0,8,98.91,1
0.292,16075,87630,0.0,0.0,0.0,11,99.03,1
0.069,13878,296550,0.0,0.0,0.0,13,99.5,1
0.5429999999999999,13154,96130,0.0,0.0,0.0,10,98.19,1
0.659,16440,180120,0.0,0.0,0.0,12,99.13,1
0.023,25194,285100,1.0,0.0,0.0,16,99.1,1
0.317,12420,175320,0.0,0.0,0.0,21,98.93,1
0.376,14610,135070,0.0,0.0,0.0,12,98.94,1
0.0,20810,150120,0.0,0.0,0.0,5,99.06729119785638,1
0.0,13875,125060,0.0,0.0,0.0,10,99.06729119785638,1
0.971,9870,31570,1.0,1.0,0.0,8,99.17,0
0.024,20454,180040,0.0,0.0,0.0,11,98.43,1
0.368,21905,394170,0.0,0.0,0.0,12,99.35,1
0.39899999999999997,22277,210050,1.0,0.0,0.0,14,98.9,1
0.067,14970,300140,0.0,0.0,2.0,9,99.25,1
0.001,21175,278920,0.0,0.0,0.0,12,99.33,1
0.5539999999999999,17894,287530,0.0,1.0,0.0,15,98.55,1
0.48,26658,494050,0.0,0.0,0.0,20,98.89,1
0.225,22272,120020,0.0,0.0,0.0,9,98.43,1
0.0,17896,227150,0.0,0.0,0.0,11,98.83,1
0.075,23368,166660,0.0,0.0,0.0,10,99.34,1
0.41200000000000003,9495,161350,0.0,0.0,0.0,6,99.7,1
0.8420000000000001,18987,351130,1.0,0.0,0.0,12,98.63,1
0.332,18989,361610,0.0,0.0,0.0,7,99.64,1
0.266,18259,187550,1.0,0.0,0.0,3,99.06729119785638,1
0.0,8044,24660,0.0,0.0,0.0,4,99.06729119785638,1
0.19399999999999998,16072,400070,1.0,0.0,0.0,18,99.3,1
0.109,20085,78150,1.0,0.0,0.0,17,98.12,1
0.585,16804,60030,0.0,0.0,0.0,5,98.37,0
1.0,16065,329550,0.0,0.0,0.0,2,99.77,0
0.568,20811,123060,0.0,0.0,0.0,9,98.07,1
0.6709999999999999,13514,135110,1.0,0.0,0.0,6,98.9,1
0.327,21550,55360,1.0,0.0,0.0,22,99.06729119785638,0
0.997,13877,202650,1.0,1.0,2.0,10,99.01,1
0.589,19716,241240,1.0,0.0,0.0,12,98.86,1
0.004,15708,195970,0.0,0.0,0.0,12,99.64,1
0.07,25200,67050,0.0,0.0,0.0,14,98.14,1
0.052000000000000005,10961,180040,0.0,0.0,0.0,12,99.83,1
0.034,23733,266270,0.0,0.0,0.0,7,99.7,1
0.046,15706,60050,0.0,0.0,0.0,11,99.56,1
0.163,22276,900030,0.0,0.0,0.0,12,99.66,1
0.39799999999999996,20086,299900,0.0,0.0,0.0,8,99.63,1
0.055999999999999994,19350,80090,0.0,0.0,0.0,9,99.78,1
0.725,26295,216070,0.0,0.0,0.0,14,98.6,0
0.966,28119,191160,0.0,0.0,0.0,28,98.57,1
0.0,11695,162550,0.0,0.0,0.0,10,98.34,1
0.0,15707,90090,0.0,0.0,0.0,7,99.79,1
0.738,13148,77200,0.0,0.0,0.0,17,98.76,1
0.452,21177,84030,0.0,0.0,0.0,12,98.92,1
0.033,13877,184500,0.0,0.0,0.0,8,99.41,1
0.503,18257,112540,3.0,0.0,0.0,13,99.74,0
0.465,17168,212610,1.0,3.0,0.0,8,99.62,1
0.133,21178,138080,0.0,0.0,0.0,8,99.3,1
0.5379999999999999,14971,162070,0.0,0.0,0.0,5,99.59,1
0.012,22641,250070,0.0,0.0,0.0,8,99.64,1
0.47600000000000003,8769,42940,0.0,0.0,0.0,4,99.83,1
0.027999999999999997,22278,129110,0.0,0.0,0.0,6,99.1,1
0.19699999999999998,22271,141140,0.0,0.0,0.0,9,99.31,1
0.196,23006,309690,0.0,0.0,0.0,11,99.36,1
1.0,9139,63680,0.0,1.0,0.0,6,99.22,0
0.003,19717,130930,0.0,0.0,0.0,7,99.39,1
0.914,20089,129100,2.0,0.0,0.0,19,97.87,0
0.4,19350,412970,0.0,0.0,0.0,12,98.88,1
1.0,18627,147100,1.0,0.0,0.0,4,99.86,1
0.027000000000000003,19721,212600,0.0,0.0,0.0,7,99.89,1
0.064,18992,180070,1.0,0.0,0.0,6,99.88,1
0.0,17163,114040,1.0,0.0,0.0,8,98.9,1
0.005,25920,46400,0.0,0.0,0.0,13,99.54,1
0.914,17526,44270,1.0,0.0,0.0,9,98.92,1
0.0,16073,222810,0.0,0.0,0.0,17,99.77,1
0.031,20818,228600,0.0,0.0,0.0,10,99.19,1
0.0,17161,142080,0.0,0.0,0.0,8,99.0,1
0.012,23001,254420,0.0,0.0,0.0,15,99.52,1
0.342,14242,312560,0.0,0.0,0.0,10,98.64,1
0.008,23009,45120,0.0,0.0,0.0,9,99.89,1
0.25,26650,69030,1.0,0.0,0.0,13,95.47,1
0.49700000000000005,18626,272610,0.0,0.0,0.0,12,99.32,1
0.02,20816,403370,0.0,0.0,0.0,14,99.58,1
0.0,15336,300030,1.0,0.0,0.0,17,99.22,1
0.113,18628,509070,0.0,0.0,0.0,22,99.26,1
0.7170000000000001,13511,270100,0.0,0.0,0.0,10,99.08,1
0.016,14979,292810,1.0,0.0,0.0,20,98.86,1
0.57,12421,127530,0.0,0.0,0.0,6,99.65,1
0.428,22640,465000,0.0,0.0,0.0,15,99.27,1
1.0,15336,173130,0.0,0.0,0.0,6,98.76,1
0.040999999999999995,16072,209070,0.0,0.0,0.0,11,99.11,1
0.374,12421,135030,1.0,0.0,0.0,11,99.53,1
0.031,21545,57660,0.0,0.0,0.0,9,98.92,1
0.0,26656,315080,0.0,0.0,0.0,10,99.06729119785638,1
0.10800000000000001,23365,510070,0.0,0.0,0.0,12,98.62,1
0.11900000000000001,19359,240130,0.0,0.0,0.0,8,98.71,1
0.154,23369,180060,0.0,0.0,0.0,15,98.79,1
0.7979999999999999,26656,81480,0.0,0.0,0.0,16,97.56,1
0.7140000000000001,18994,60060,1.0,0.0,0.0,14,99.06729119785638,1
0.474,11323,66820,0.0,0.0,0.0,7,98.49,1
0.745,17893,133650,0.0,0.0,0.0,5,96.88,1
0.013999999999999999,18985,141240,0.0,0.0,0.0,7,98.82,1
0.6859999999999999,14974,326960,0.0,0.0,0.0,15,98.86,1
0.723,18988,183660,0.0,0.0,0.0,5,98.76,1
0.42,14605,171140,1.0,0.0,0.0,11,98.47,1
0.0,18257,210100,0.0,0.0,0.0,10,98.52,1
0.682,13519,177090,0.0,0.0,0.0,12,98.89,1
0.664,13512,300480,0.0,0.0,0.0,14,98.72,1
0.17600000000000002,13877,80120,0.0,0.0,0.0,19,98.66,1
0.501,14972,208680,0.0,0.0,0.0,13,99.02,1
0.0,16065,42580,0.0,0.0,0.0,4,99.81,1
1.0,15336,210100,0.24867094638647877,0.07818847484828728,0.060008024474647675,2,99.06729119785638,0
0.24600000000000002,26294,165130,0.0,0.0,0.0,5,99.87,1
0.597,15340,91520,1.0,0.0,0.0,4,99.8,1
0.059000000000000004,19719,173650,0.0,0.0,0.0,12,99.23,1
0.165,23001,111100,0.0,0.0,0.0,9,99.25,1
0.5589999999999999,13883,495070,1.0,0.0,0.0,11,99.1,1
0.341,16072,75100,0.0,0.0,0.0,8,99.27,1
0.941,10233,120070,0.0,0.0,0.0,9,99.16,1
0.018000000000000002,25925,305600,0.0,0.0,0.0,11,99.89,1
0.111,18255,159110,0.0,0.0,0.0,9,99.74,1
0.155,16439,290070,0.0,0.0,0.0,8,99.39,1
0.358,17528,216130,1.0,0.0,0.0,17,98.83,1
0.005,31033,100100,0.0,0.0,0.0,12,99.06729119785638,1
0.002,21178,237070,0.0,1.0,0.0,25,99.39,1
0.18,29578,41230,0.0,0.0,0.0,15,98.86,1
0.44,8771,75110,0.0,0.0,0.0,5,99.84,1
0.03,18989,82650,0.0,0.0,0.0,6,99.43,1
0.154,18260,512170,0.0,0.0,0.0,17,99.36,1
0.522,23736,235550,0.0,0.0,0.0,11,98.63,1
0.032,26657,180110,0.0,0.0,0.0,12,99.37,1
0.7,12780,105100,0.0,0.0,0.0,9,99.09,1
0.382,18262,150080,0.0,0.0,0.0,10,99.19,1
0.042,32125,190040,0.0,0.0,0.0,6,99.59,1
0.9840000000000001,13883,81330,0.0,0.0,0.0,6,98.42,1
0.321,20448,97650,1.0,0.0,0.0,12,97.77,1
0.057,22638,104210,0.0,0.0,0.0,10,99.42,1
0.349,17530,231380,0.0,0.0,0.0,4,99.81,1
0.498,18263,60050,0.0,0.0,0.0,8,96.7,1
0.7040000000000001,20081,186200,0.0,0.0,0.0,6,99.56,1
0.076,9864,125730,0.0,0.0,0.0,10,98.44,1
0.0,18258,160200,0.0,0.0,0.0,6,99.7,1
0.021,18985,87570,0.0,0.0,0.0,7,98.59,1
0.515,22636,139810,0.0,0.0,0.0,8,99.67,1
1.0,16072,135060,0.0,4.0,1.0,6,98.86,0
0.09300000000000001,21546,334600,1.0,0.0,0.0,18,99.0,1
0.001,20085,273120,2.0,0.0,0.0,19,99.25,1
0.02,29213,120030,0.0,0.0,0.0,9,99.88,1
0.028999999999999998,24830,59490,0.0,0.0,0.0,8,98.84,1
0.15,23004,45070,0.0,0.0,0.0,14,99.0,1
0.0,8045,27900,0.0,0.0,0.0,4,99.06729119785638,1
0.662,15705,105070,1.0,0.0,0.0,9,98.78,1
0.066,8768,56460,0.0,0.0,0.0,4,99.83,1
0.43799999999999994,13518,125150,0.0,0.0,0.0,12,99.77,1
0.01,15702,153820,0.0,0.0,0.0,10,99.37,1
0.102,17168,582110,0.0,0.0,0.0,15,99.43,1
0.005,19716,300030,0.0,0.0,0.0,11,98.93,1
0.027000000000000003,18991,310040,0.0,0.0,0.0,12,99.3,1
0.7829999999999999,22637,108050,0.0,0.0,0.0,10,98.95,1
0.008,21906,215030,0.0,0.0,0.0,7,99.32,1
0.019,28476,72150,0.0,0.0,0.0,11,99.84,1
0.245,13880,201110,0.0,0.0,0.0,9,99.47,1
0.11199999999999999,21176,230190,0.0,0.0,0.0,8,99.07,1
0.022000000000000002,26650,416520,0.0,0.0,0.0,30,99.49,1
0.501,20447,552150,0.0,0.0,0.0,24,99.26,1
0.162,13882,525150,0.0,0.0,0.0,20,99.54,1
0.95,17893,255290,1.0,0.0,0.0,18,98.71,0
0.13,18255,208630,0.0,0.0,0.0,11,97.75,1
0.0,13516,150140,0.0,0.0,0.0,9,97.57,1
0.003,19356,385050,0.0,0.0,0.0,21,99.39,1
0.016,28478,105650,0.0,0.0,0.0,7,99.89,1
0.33399999999999996,19356,514540,0.0,0.0,0.0,23,98.93,1
0.38,16437,266830,0.0,0.0,0.0,17,98.93,1
0.145,19359,312580,0.0,0.0,0.0,14,99.36,1
0.226,22275,604480,0.0,0.0,0.0,16,98.31,1
0.17800000000000002,15700,162660,0.0,0.0,0.0,15,98.22,1
0.622,13511,66050,0.0,0.0,0.0,7,99.2,1
0.38299999999999995,23002,174060,0.0,0.0,0.0,5,99.13,1
0.012,28110,30120,0.0,0.0,0.0,3,99.06729119785638,1
0.11800000000000001,26293,165050,1.0,0.0,0.0,9,99.43,1
0.09300000000000001,29579,52590,0.0,0.0,0.0,10,98.82,1
0.929,19350,183100,0.0,1.0,0.0,9,98.93,1
0.0,12425,390030,0.0,0.0,0.0,11,99.44,1
0.909,10958,149100,0.0,0.0,0.0,10,99.13,1
0.04,18994,62970,0.0,0.0,0.0,9,98.42,1
0.259,19356,150060,0.0,0.0,0.0,12,99.56,1
0.006999999999999999,25924,221700,0.0,0.0,0.0,14,99.53,1
0.304,23366,105110,0.0,0.0,0.0,6,97.37,1
0.005,20454,180110,0.0,0.0,0.0,16,99.29,1
0.41100000000000003,10598,27870,0.0,0.0,0.0,14,99.12,1
0.312,15341,177630,0.0,0.0,0.0,6,99.11,1
0.021,28477,120110,0.0,0.0,0.0,11,98.7,1
0.337,14607,89030,0.0,1.0,0.0,14,97.4,1
0.06,18257,37580,0.0,0.0,0.0,8,98.75,1
0.478,28120,144100,0.0,0.0,0.0,14,99.25,1
0.09699999999999999,10958,120100,0.0,0.0,0.0,9,99.62,1
0.02,20086,255050,0.0,0.0,0.0,33,98.99,1
0.354,24098,174140,0.0,0.0,0.0,19,98.34,1
0.963,9134,66090,2.0,0.0,0.0,12,99.19,1
0.040999999999999995,19359,270080,0.0,0.0,0.0,6,99.38,1
0.3,20451,219580,0.0,0.0,0.0,3,99.86,1
0.138,25190,261600,0.0,0.0,0.0,13,98.9,1
0.018000000000000002,22637,249070,0.0,0.0,0.0,17,99.54,1
0.389,14980,216060,0.0,0.0,0.0,13,98.95,1
0.085,18628,177060,0.0,0.0,0.0,6,98.7,1
0.066,16435,334860,0.0,0.0,0.0,6,99.21,1
0.067,18265,87540,0.0,0.0,0.0,8,98.07,1
0.8059999999999999,32865,93740,0.0,0.0,0.0,10,98.59,1
0.009000000000000001,18261,269970,1.0,0.0,0.0,23,98.88,1
0.076,23009,205500,0.0,0.0,0.0,9,99.17,1
0.033,23367,158530,0.0,0.0,0.0,13,99.56,1
0.0,20083,456120,0.0,0.0,0.0,12,99.32,1
0.608,23374,271140,0.0,0.0,0.0,11,98.38,1
0.036000000000000004,21912,450140,0.0,0.0,0.0,22,99.88,1
0.053,28118,85350,0.0,0.0,0.0,9,99.83,1
0.034,12058,216100,0.0,0.0,0.0,7,99.88,1
0.44299999999999995,15339,274610,0.0,0.0,0.0,9,99.29,1
0.065,14244,340140,0.0,0.0,0.0,7,99.32,1
0.0,17526,281220,0.0,0.0,0.0,11,99.11,1
0.7959999999999999,17531,774150,1.0,2.0,0.0,11,99.71,0
0.985,20450,300150,1.0,0.0,1.0,13,99.71,0
1.0,18259,365110,1.0,0.0,0.0,6,99.43,1
0.23800000000000002,23737,450050,0.0,0.0,0.0,19,99.59,1
1.0,10959,62470,1.0,0.0,0.0,3,99.56,0
0.667,18630,151560,1.0,0.0,0.0,13,98.65,0
0.9009999999999999,12057,36440,0.0,0.0,0.0,5,99.58,1
0.37,21181,212740,1.0,0.0,0.0,22,99.18,1
0.49,18264,240100,0.0,0.0,0.0,16,98.86,1
0.652,24830,285120,0.0,0.0,0.0,20,97.8,1
0.004,23740,290020,0.0,0.0,0.0,18,99.69,1
0.377,25558,337590,0.0,0.0,0.0,18,99.22,1
0.163,17160,193490,0.0,0.0,0.0,29,98.78,1
0.902,18620,175020,0.0,0.0,0.0,21,97.2,1
0.544,18258,199590,2.0,3.0,1.0,10,98.75,1
0.6759999999999999,12418,270090,2.0,0.0,0.0,17,99.62,0
1.0,17893,215400,0.0,0.0,0.0,12,97.09,1
0.555,19353,287910,2.0,1.0,2.0,11,99.06,0
0.09699999999999999,18264,245570,0.0,0.0,0.0,13,99.31,1
0.013000000000000001,25559,174120,0.0,0.0,0.0,19,99.89,1
0.9359999999999999,16075,187560,0.0,0.0,0.0,5,99.54,1
0.9,13515,184960,0.0,0.0,0.0,12,98.75,1
0.021,18624,192330,0.0,0.0,0.0,12,99.47,1
0.897,18991,73470,0.0,0.0,0.0,13,98.09,1
0.0,19355,278280,0.0,0.0,0.0,10,99.36,1
0.878,12424,210090,1.0,3.0,0.0,4,99.86,1
0.025,16432,250070,1.0,0.0,0.0,12,99.36,1
0.981,18992,33210,0.0,0.0,0.0,8,96.76,1
0.41700000000000004,18624,214750,0.0,0.0,0.0,12,98.46,1
0.022000000000000002,14240,94960,0.0,0.0,0.0,5,98.92,1
0.0,20082,124340,0.0,0.0,0.0,8,99.06729119785638,1
0.6759999999999999,20812,400770,2.0,0.0,0.0,10,99.19,1
0.723,19724,379410,0.0,0.0,0.0,15,99.3,1
0.054000000000000006,17534,241570,0.0,0.0,0.0,9,99.36,1
0.541,18629,604430,0.0,0.0,0.0,16,99.35,1
0.004,13154,125080,0.0,0.0,0.0,11,98.08,1
0.376,21181,331650,0.0,0.0,0.0,27,98.88,1
0.713,18257,50890,0.0,1.0,0.0,12,98.43,1
0.019,13878,69750,0.0,0.0,0.0,4,99.06729119785638,1
0.575,28478,92370,0.0,0.0,0.0,6,99.51,1
0.034,27750,125110,0.0,0.0,0.0,6,99.87,1
0.516,21184,260250,0.0,0.0,0.0,8,99.54,1
0.095,16798,201070,0.0,0.0,0.0,5,99.71,1
0.04,25565,39210,1.0,0.0,0.0,9,99.41,1
0.21100000000000002,26660,108130,0.0,0.0,0.0,12,99.1,1
0.305,28114,136170,0.0,0.0,0.0,10,98.24,1
0.48700000000000004,25197,202420,0.0,0.0,0.0,11,99.21,1
0.042,18625,159720,0.0,0.0,0.0,8,99.31,1
0.005,28117,150140,1.0,0.0,0.0,10,98.73,1
0.773,15338,304050,1.0,1.0,0.0,9,99.58,1
0.239,21540,553550,1.0,0.0,0.0,11,99.64,1
0.013000000000000001,14609,249350,0.0,0.0,0.0,8,99.36,1
0.41200000000000003,16802,412550,1.0,0.0,0.0,10,99.14,1
0.254,18990,675110,1.0,0.0,0.0,13,99.4,1
0.221,19360,137540,3.0,2.0,0.0,16,99.33,0
0.128,23740,170070,0.0,0.0,0.0,16,99.17,1
0.053,19350,229020,0.0,0.0,0.0,7,99.36,1
0.037000000000000005,26651,248310,0.0,0.0,0.0,12,99.75,1
0.003,16798,180150,0.0,0.0,0.0,20,98.89,1
0.501,13876,218760,0.0,0.0,0.0,6,99.13,1
0.043,22637,129970,0.0,0.0,0.0,11,99.07,1
0.031,19356,195850,0.0,0.0,0.0,15,99.29,1
0.797,12784,93050,2.0,1.0,1.0,10,99.89,1
0.055999999999999994,14242,250060,0.0,0.0,0.0,6,99.69,1
0.032,12060,179330,0.0,0.0,0.0,18,99.06,1
0.037000000000000005,10964,48070,0.0,0.0,0.0,4,99.88,1
0.057,23006,210050,0.0,0.0,0.0,10,99.35,1
0.026000000000000002,28842,189630,0.0,0.0,0.0,5,99.89,1
0.1,22644,123490,0.0,0.0,0.0,6,99.76,1
0.047,15344,926040,0.0,0.0,0.0,16,99.35,1
0.023,18987,387610,0.0,0.0,0.0,14,99.34,1
0.026000000000000002,24465,222050,0.0,0.0,0.0,9,99.85,1
0.603,17161,162520,2.0,0.0,0.0,12,99.01,1
0.027000000000000003,23000,236380,0.0,0.0,0.0,8,99.71,1
0.01,24466,195100,0.0,0.0,0.0,19,92.7,1
1.0,11685,42060,1.0,0.0,0.0,3,99.22,1
0.017,26651,75100,0.0,0.0,0.0,7,99.88,1
0.028999999999999998,21550,80730,0.0,0.0,0.0,10,99.2,1
0.038,25196,227070,0.0,0.0,0.0,22,99.33,1
0.7859999999999999,11328,60060,0.0,0.0,0.0,4,99.62,1
0.09300000000000001,25191,297340,0.0,0.0,0.0,13,98.41,1
0.0,19718,430120,0.0,0.0,0.0,9,99.49,1
0.934,20086,564200,0.0,0.0,0.0,10,99.18,1
0.2,9139,105100,0.0,0.0,0.0,7,99.73,1
0.084,21176,727600,0.0,0.0,0.0,12,99.1,1
0.027000000000000003,14974,137640,0.0,0.0,0.0,10,98.32,1
0.252,17899,960030,1.0,0.0,0.0,14,96.07,1
0.499,24099,80790,2.0,1.0,1.0,15,97.66,1
0.665,24101,60120,0.0,0.0,1.0,4,99.64,1
0.753,15710,258860,4.0,2.0,0.0,18,98.74,0
0.387,10234,120090,0.0,0.0,0.0,8,99.61,1
0.6970000000000001,15705,30070,0.0,0.0,0.0,10,97.75,1
1.0,11690,234040,0.0,0.0,0.0,2,99.06729119785638,1
0.509,22270,339040,0.0,0.0,0.0,13,98.92,1
0.298,31401,90070,0.0,0.0,0.0,11,99.51,1
0.018000000000000002,18995,156140,0.0,0.0,0.0,16,99.25,1
0.642,25190,45080,0.0,0.0,0.0,9,98.54,1
0.308,19359,310940,0.0,0.0,0.0,10,97.88,1
0.028999999999999998,31769,2910090,0.0,0.0,0.0,7,99.86,1
0.275,21908,180090,0.0,0.0,0.0,8,99.42,1
0.7490000000000001,14607,133160,2.0,0.0,2.0,11,99.68,1
0.135,18622,390120,0.0,0.0,0.0,14,99.16,1
0.0,15337,281440,0.0,0.0,0.0,8,99.19,1
0.03,12056,112620,1.0,0.0,0.0,21,98.72,1
0.10800000000000001,26655,134570,2.0,0.0,0.0,19,98.48,1
0.508,12419,36080,2.0,0.0,0.0,6,97.08,1
0.892,15707,73320,0.0,7.0,0.0,12,94.63,1
0.401,17525,175060,2.0,0.0,0.0,14,98.68,1
0.111,18995,625040,0.0,0.0,0.0,24,98.99,1
0.654,14249,150080,0.0,0.0,0.0,7,98.28,1
0.115,24103,328940,0.0,0.0,0.0,6,99.48,1
0.03,22275,76540,0.0,0.0,0.0,7,99.87,1
0.303,23003,474770,0.0,0.0,0.0,11,99.38,1
0.113,23371,25100,0.0,0.0,0.0,6,99.48,1
0.36700000000000005,25921,102040,0.0,0.0,0.0,13,98.48,1
0.022000000000000002,24098,315090,0.0,0.0,0.0,12,99.89,1
0.024,32862,195090,0.0,0.0,0.0,4,99.06729119785638,1
0.12300000000000001,17897,250100,1.0,0.0,1.0,12,99.55,1
0.11800000000000001,24826,426310,0.0,0.0,0.0,9,99.03,1
0.128,23370,211400,0.0,0.0,0.0,10,99.48,1
0.0,15345,374810,0.0,0.0,0.0,13,99.33,1
0.6970000000000001,16795,101020,1.0,0.0,0.0,9,99.75,1
0.304,12783,345120,1.0,0.0,0.0,12,99.19,1
0.0,14240,210150,1.0,0.0,0.0,8,98.98,1
0.402,21179,151570,0.0,0.0,0.0,9,99.1,1
0.0,24831,100890,0.0,0.0,0.0,6,99.87,1
0.022000000000000002,14249,300030,0.0,0.0,0.0,14,98.54,1
0.09699999999999999,8765,60070,0.0,0.0,0.0,7,99.81,1
0.0,18994,111110,0.0,0.0,0.0,11,99.06729119785638,1
0.009000000000000001,10230,54090,0.0,0.0,0.0,8,97.93,1
0.47700000000000004,13153,81050,0.0,0.0,0.0,8,99.12,1
0.872,16798,171910,2.0,0.0,2.0,11,98.82,1
0.084,12789,112290,0.0,0.0,0.0,10,99.05,1
0.349,16802,120150,0.0,1.0,0.0,5,99.73,1
0.019,8038,60050,0.0,0.0,0.0,4,99.06729119785638,1
0.006999999999999999,14612,639570,0.0,0.0,0.0,6,99.41,1
0.292,26290,73570,0.0,0.0,0.0,14,98.33,1
0.308,17895,143470,0.0,0.0,0.0,10,99.09,1
0.022000000000000002,16798,180040,0.0,0.0,0.0,21,97.48,1
0.946,18620,89950,0.0,0.0,0.0,5,99.13,1
0.142,13875,96110,0.0,0.0,0.0,8,97.39,1
0.387,20450,66130,0.0,0.0,0.0,10,98.11,1
0.0,18264,420100,0.0,0.0,0.0,13,99.35,1
0.05,16430,178890,0.0,0.0,0.0,5,99.45,1
0.044000000000000004,26288,360060,1.0,0.0,0.0,12,99.46,1
0.18899999999999997,21178,210060,1.0,0.0,0.0,10,99.45,1
0.025,31401,43420,0.0,0.0,0.0,8,99.89,1
0.081,18629,162130,0.0,0.0,0.0,14,98.94,1
0.925,16804,101570,3.0,0.0,1.0,9,98.63,0
0.654,11327,49530,0.0,0.0,0.0,8,99.02,1
0.33899999999999997,12420,80080,0.0,0.0,0.0,7,99.06729119785638,1
0.75,20819,102600,0.0,0.0,0.0,7,97.35,1
0.29,18985,76780,0.0,0.0,0.0,10,98.84,1
0.596,21546,262550,0.0,0.0,0.0,14,98.95,1
1.0,18258,153990,0.0,1.0,1.0,5,99.25,1
0.0,21175,1950090,2.0,0.0,0.0,10,99.41,1
0.016,31038,120070,0.0,0.0,0.0,5,99.89,1
0.05,17531,105140,0.0,0.0,0.0,17,98.19,1
0.081,12056,135140,0.0,0.0,0.0,9,99.58,1
0.479,11327,199250,0.0,0.0,0.0,12,98.95,1
0.0,23731,150120,0.0,0.0,0.0,5,99.3,1
0.0,13883,150070,1.0,0.0,0.0,7,98.98,1
0.235,23731,1200090,0.0,0.0,0.0,6,99.87,1
0.053,29210,170530,0.0,0.0,0.0,16,99.11,1
0.272,18987,240040,0.0,0.0,0.0,10,99.45,1
0.015,27754,162550,0.0,0.0,0.0,14,99.23,1
0.003,23365,162030,0.0,0.0,0.0,15,98.09,1
0.23800000000000002,15706,102120,1.0,0.0,0.0,7,99.86,1
0.027000000000000003,20446,420050,0.0,0.0,0.0,10,99.89,1
0.019,11329,180050,0.0,0.0,0.0,14,99.36,1
0.371,18985,132410,0.0,0.0,0.0,10,98.9,1
0.040999999999999995,22640,185940,0.0,0.0,0.0,11,99.19,1
0.022000000000000002,21546,277910,0.0,0.0,0.0,15,99.47,1
